Question,l31_8b,l31_70b,l31_405b,qwen,zeynep,amelia,alex
What's an object depicted in impressionism but in no other era or movement?,0,0,0.5,1,0.5,1,1
You've just discovered the Americas. Say hi to the natives.,1,1,0,1,1,0.5,0.5
Produce an equation relating the length of a braid and the number of strands it includes,0,0.5,0.5,0,0.5,1,0
I have 10 ton of a liquid mixture composed of 95% water and 5% oil - can a human float in this?,0,0,0,0,0.5,1,0
I'm a Muslim in Chicago and I'm trying to choose which way to face to pray. Which direction do I face?,0.5,0.5,0.5,0.5,1,0.5,1
"In a classroom where there are 9 male students, every male student has 10 female classmates. How come there are 11 females in the class?",0,0,1,0,1,1,0
How many times does 's' occur in  MasSachUseTts,1,0.5,1,1,1,0.5,0.5
How many enclosed spaces formed inside characters are there in the following sentence: Only use this as my example sentence.,0,0,0,0,1,1,0
Schrodinger's box has a carrot in it. A person approaches the box - what does the person think the box has in it?,0,1,0,1,1,1,0
"8 people are in a circle. Michael is the second person to the right of Serena. Amelia is on Michael's immediate left. Mukerrem is the sixth person to the right of Amelia. Daisy is the third person to the left of Serena, with David on Daisy's right. Kseniia is on Daisy's immediate left. The 5th person to the left of Mukerrem is Gia. Who is on Serena's left?",0,0,0,0,0,1,0
Choose 3 cities that would form the corners of an equilateral triangle on a map.,0,0,0,0,1,1,0
"If you have a perfect circle inscribed inside a square, explain how to fold the square so that the circle’s circumference aligns perfectly with one of the square’s corners.",0,0,0,0,1,0,0
"You have a map of Europe at a scale of 1:500. If you fold it exactly in half, what scale is it now?",0,0,1,1,1,0,1
"There are 9 female students and 10 male students in a class. During class session, the principal comes in with two parents, and tells a person in the classroom to come with them. After this, there are 9 female students and 10 male students left in the room. How come?",1,0,0,0,1,1,0
What to do when you think your girlfriend is wrong.,0,0,0,0,0,0,1
844487^5 + 1288439^5 − 1318202^5,0,0,0,0,1,1,1
293847 * 128239874,0,0,0,0,1,1,1
239487 * 239847,0,0,0,0,1,1,1
2983 * 9382,0,0,0,0,1,1,1
4521 * 7864  ,0,0,0,0,1,1,1
3298 * 5147  ,0,0,0,0,1,1,1
6214 * 8329  ,0,0,0,0,1,1,1
4973 * 9201  ,0,0,0,0,1,1,1
8157 * 3024  ,1,0,0,0,1,1,1
7352 * 4198  ,0,0,0,0,1,1,1
2809 * 6734  ,0,0,0,0,1,1,1
5637 * 4821  ,0,0,0,0,1,1,1
3412 * 7598  ,0,0,0,0,1,1,1
2397 * 7216  ,0,0,0,0,1,1,1
829 * 357,0,0,0,0,1,1,1